size(N) iter time(total) iter/s memory(kBytes) num_threads
50 1000 0.361462 2766.540873 3000 1
50 1000 1.194239 837.353655 3000 2
50 1000 0.669329 1494.034226 3000 4
50 1000 0.565120 1769.534866 3000 8
50 1000 1.217779 821.166808 3000 16
75 1000 1.539450 649.582642 10125 1
75 1000 1.205889 829.264055 10125 2
75 1000 0.789711 1266.285511 10125 4
75 1000 1.540876 648.981432 10125 8
75 1000 1.224002 816.992115 10125 16
100 1000 2.169472 460.941695 24000 1
100 1000 1.247082 801.871867 24000 2
100 1000 1.433051 697.811962 24000 4
100 1000 1.913102 522.711406 24000 8
100 1000 1.921043 520.550647 24000 16
125 1000 2.623011 381.241229 46875 1
125 1000 3.673205 272.241829 46875 2
125 1000 1.977898 505.587314 46875 4
125 1000 2.455900 407.182662 46875 8
125 1000 2.336033 428.076178 46875 16
150 1000 3.735622 267.693018 81000 1
150 1000 5.540191 180.499188 81000 2
150 1000 8.302553 120.444880 81000 4
150 1000 4.581801 218.254809 81000 8
150 1000 4.567057 218.959372 81000 16
175 1000 7.116563 140.517273 128625 1
175 1000 9.387658 106.522837 128625 2
175 1000 6.683342 149.625749 128625 4
175 1000 7.099784 140.849355 128625 8
175 1000 6.780504 147.481652 128625 16
200 1000 9.524809 104.988978 192000 1
200 1000 9.774868 102.303167 192000 2
200 1000 11.649586 85.839958 192000 4
200 1000 8.253957 121.154011 192000 8
200 1000 9.020174 110.862607 192000 16
