size(N) iter time(total) iter/s memory(kBytes) mlups
50 1000 0.362698 2757.114140 3000 1033.92
50 1000 0.330141 3029.012573 3000 1135.88
50 1000 0.245232 4077.777432 3000 1529.17
50 1000 0.208854 4788.040128 3000 1795.52
50 1000 0.258164 3873.504251 3000 1452.56
75 1000 1.289736 775.352742 10125 981.306
75 1000 1.171414 853.669056 10125 1080.42
75 1000 0.810728 1233.458837 10125 1561.1
75 1000 0.660520 1513.959616 10125 1916.11
75 1000 0.644362 1551.922168 10125 1964.15
100 1000 2.976632 335.950148 24000 1007.85
100 1000 2.652011 377.072354 24000 1131.22
100 1000 1.862314 536.966518 24000 1610.9
100 1000 1.661692 601.796363 24000 1805.39
100 1000 1.343906 744.099835 24000 2232.3
125 1000 7.078262 141.277617 46875 827.799
125 1000 5.646584 177.098238 46875 1037.68
125 1000 4.085867 244.746101 46875 1434.06
125 1000 3.387173 295.231457 46875 1729.87
125 1000 3.530953 283.209666 46875 1659.43
150 1000 15.558300 64.274376 81000 650.778
150 1000 11.865506 84.277903 81000 853.314
150 1000 9.708253 103.005140 81000 1042.93
150 1000 8.352629 119.722785 81000 1212.19
150 1000 9.146694 109.329120 81000 1106.96
175 1000 25.206996 39.671527 128625 637.844
175 1000 20.341175 49.161369 128625 790.423
175 1000 15.676323 63.790469 128625 1025.63
175 1000 14.348919 69.691663 128625 1120.51
175 1000 14.664331 68.192677 128625 1096.41
200 1000 37.509889 26.659636 192000 639.831
200 1000 30.506357 32.780053 192000 786.721
200 1000 24.520833 40.781649 192000 978.76
200 1000 21.525686 46.456126 192000 1114.95
200 1000 21.920875 45.618617 192000 1094.85
