size(N) iter time(total) iter/s memory(kBytes)
50 1186 0.384521 3084.356841 3000
50 50000 10.106814 4947.157478 3000
50 1192 0.176626 6748.715441 3000
50 1184 0.222602 5318.906901 3000
50 852 0.264703 3218.701285 3000
75 2481 3.014382 823.054309 10125
75 50000 32.446049 1541.019691 10125
75 8233 3.137114 2624.386777 10125
75 1457 0.657190 2217.015386 10125
75 1582 0.738915 2140.977070 10125
100 4153 11.396146 364.421451 24000
100 6285 8.839288 711.030158 24000
100 23505 17.944743 1309.854339 24000
100 3539 1.805535 1960.084027 24000
100 2170 1.277857 1698.155497 24000
150 8502 88.128518 96.472744 81000
150 33306 182.299220 182.699630 81000
150 50000 140.362111 356.221487 81000
150 12777 19.993708 639.051034 81000
150 2707 5.164625 524.142636 81000
