size(N) iter time(total) iter/s memory(kBytes) n_threads
50 1000 0.356598 2804.278990 3000   1
50 1000 0.238148 4199.069944 3000   2
50 1000 0.184303 5425.846320 3000   4
50 1000 0.226071 4423.391443 3000   8
50 1000 0.396990 2518.956264 3000   16
75 1000 1.298668 770.019798 10125   1
75 1000 0.835487 1196.906532 10125  2
75 1000 0.595288 1679.860398 10125  4
75 1000 1.067455 936.807385 10125   8
75 1000 1.079785 926.110606 10125   16
100 1000 2.979981 335.572589 24000  1
100 1000 1.900700 526.122062 24000  2
100 1000 1.358214 736.261184 24000  4
100 1000 1.439890 694.497541 24000  8
100 1000 2.007628 498.100255 24000  16
125 1000 7.053597 141.771638 46875  1
125 1000 4.785722 208.954886 46875  2
125 1000 3.624995 275.862432 46875  4
125 1000 4.278594 233.721638 46875  8
125 1000 3.479328 287.411809 46875  16
150 1000 15.739728 63.533500 81000  1
150 1000 10.808495 92.519819 81000  2
150 1000 8.527240 117.271242 81000  4
150 1000 9.508747 105.166324 81000  8
150 1000 9.488722 105.388275 81000  16
175 1000 25.244688 39.612293 128625 1
175 1000 17.798661 56.184003 128625 2
175 1000 14.168852 70.577349 128625 4
175 1000 14.817523 67.487663 128625 8
175 1000 15.335684 65.207393 128625 16
200 1000 37.330521 26.787732 192000 1
200 1000 26.797019 37.317584 192000 2
200 1000 21.357054 46.822937 192000 4
200 1000 22.098884 45.251154 192000 8
200 1000 22.609962 44.228292 192000 16
