size(N) iter time(total) iter/s memory(kBytes)
64 100 0.109840 910.415844 6291.46
64 100 0.060397 1655.713851 6291.46
64 100 0.037265 2683.478673 6291.46
64 100 0.046942 2130.299460 6291.46
64 100 0.053573 1866.615636 6291.46
128 100 0.988064 101.208038 50331.6
128 100 0.468641 213.383150 50331.6
128 100 0.245788 406.855316 50331.6
128 100 0.139685 715.894470 50331.6
128 100 0.160619 622.589422 50331.6
256 100 8.081707 12.373624 402653
256 100 4.195013 23.837829 402653
256 100 2.194403 45.570472 402653
256 100 1.210545 82.607433 402653
256 100 1.166342 85.738179 402653
512 100 67.102357 1.490261 3.22123e+06
512 100 34.098506 2.932680 3.22123e+06
512 100 17.809654 5.614932 3.22123e+06
512 100 10.094992 9.905902 3.22123e+06
512 100 8.572341 11.665425 3.22123e+06
